source	target	depth
quantum neural network	quantum cognition	3
quantum neural network	quantum machine learning	3
word2vec	autoencoder	2
word2vec	document-term matrix	2
word2vec	feature extraction	2
word2vec	feature learning	2
word2vec	language model	2
word2vec	vector space model	2
word2vec	thought vector	2
word2vec	fasttext	2
word2vec	glove (machine learning)	2
word2vec	normalized compression distance	2
text simplification	automated paraphrasing	2
text simplification	controlled natural language	2
text simplification	lexical simplification	2
text simplification	lexical substitution	2
text simplification	semantic compression	2
text simplification	text normalization	2
text simplification	simplified technical english	2
text simplification	basic english	2
text-proofing	american and british english spelling differences	2
text-proofing	distributed proofreaders	2
text-proofing	etaoin shrdlu	2
text-proofing	fact checking	2
text-proofing	galley proof	2
text-proofing	iso 5776	2
text-proofing	obelism	2
text-proofing	printing press check	2
text-proofing	style guide	2
text-proofing	typographical syntax	2
text-proofing	writing circle	2
quantum computing	supercomputer	3
quantum computing	chemical computer	3
quantum computing	d-wave systems	3
quantum computing	dna computing	3
quantum computing	electronic quantum holography	3
quantum computing	intelligence advanced research projects activity	3
quantum computing	kane quantum computer	3
quantum computing	magic state distillation	3
quantum computing	natural computing	3
quantum computing	normal mode	3
quantum computing	photonic computing	3
quantum computing	post-quantum cryptography	3
quantum computing	quantum annealing	3
quantum computing	quantum bus	3
quantum computing	quantum cognition	3
quantum computing	quantum cryptography	3
quantum computing	quantum gate	3
quantum computing	quantum machine learning	3
quantum computing	quantum threshold theorem	3
quantum computing	rigetti computing	3
quantum computing	soliton	3
quantum computing	theoretical computer science	3
quantum computing	timeline of quantum computing	3
quantum computing	topological quantum computer	3
quantum computing	valleytronics	3
style guide	graphic charter	3
style guide	citation	3
style guide	diction	3
style guide	documentation	3
style guide	english writing style	3
style guide	grammar	3
style guide	prescription and description	3
style guide	punctuation	3
style guide	sentence spacing in language and style guides	3
style guide	spelling	3
style guide	usage	3
typographical syntax	typographical error	3
printing press check	prepress	3
printing press check	pre-flight (printing)	3
printing press check	color printing	3
printing press check	offset printing	3
printing press check	modern engraving	3
obelism	aristarchian symbols	3
obelism	dagger (typography)	3
obelism	annotation	3
obelism	marginalia	3
obelism	general punctuation 	3
etaoin shrdlu	filler text	3
etaoin shrdlu	lorem ipsum	3
etaoin shrdlu	qwerty	3
etaoin shrdlu	dvorak keyboard layout	3
etaoin shrdlu	azertyuiop (horse)	3
fact checking	cherry picking	3
algorithmic trading	2010 flash crash	3
algorithmic trading	alternative trading system	3
algorithmic trading	artificial intelligence	3
algorithmic trading	best execution	3
algorithmic trading	complex event processing	3
algorithmic trading	electronic trading platform	3
algorithmic trading	fixatdl	3
algorithmic trading	high-frequency trading	3
algorithmic trading	mirror trading	3
algorithmic trading	technical analysis	3
distributed proofreaders	recaptcha	3
distributed proofreaders	wikisource	3
american and british english spelling differences	australian english	3
american and british english spelling differences	canadian english	3
american and british english spelling differences	english language in england	3
american and british english spelling differences	english in the commonwealth of nations	3
american and british english spelling differences	english orthography	3
american and british english spelling differences	hong kong english	3
american and british english spelling differences	hiberno-english	3
american and british english spelling differences	indian english	3
american and british english spelling differences	malaysian english	3
american and british english spelling differences	manx english	3
american and british english spelling differences	new zealand english	3
american and british english spelling differences	philippine english	3
american and british english spelling differences	scottish english	3
american and british english spelling differences	singaporean english	3
american and british english spelling differences	south african english	3
basic english	academic word list	3
basic english	bible in basic english	3
basic english	controlled vocabulary	3
basic english	français fondamental	3
basic english	globish (nerrière)	3
basic english	general service list	3
basic english	international english	3
basic english	plain english	3
basic english	plain language	3
basic english	readability	3
basic english	seaspeak	3
basic english	simplified technical english	3
basic english	special english	3
basic english	standard marine communication phrases	3
simplified technical english	basic english	3
simplified technical english	constructed language	3
simplified technical english	international english	3
simplified technical english	special english	3
simplified technical english	topic-based authoring	3
text normalization	automated paraphrasing	3
text normalization	canonicalization	3
text normalization	text simplification	3
text normalization	unicode equivalence	3
controlled natural language	constructed language	3
controlled natural language	knowledge representation and reasoning	3
controlled natural language	natural language processing	3
controlled natural language	controlled vocabulary	3
controlled natural language	controlled language in machine translation	3
controlled natural language	structured english	3
controlled natural language	simple english wikipedia	3
semantic compression	controlled natural language	3
semantic compression	information theory	3
semantic compression	lexical substitution	3
semantic compression	quantities of information	3
semantic compression	text simplification	3
lexical substitution	lexical semantics	3
lexical substitution	semantic compression	3
lexical substitution	semeval	3
lexical substitution	word sense	3
lexical simplification	lexical substitution	3
galley proof	composing stick	3
galley proof	prepress proofing	3
normalized compression distance	arxiv:1301.3781	3
normalized compression distance	word2vec	3
automated paraphrasing	round-trip translation	3
automated paraphrasing	text simplification	3
automated paraphrasing	text normalization	3
glove (machine learning)	word2vec	3
glove (machine learning)	fasttext	3
glove (machine learning)	natural language processing	3
fasttext	gensim	3
fasttext	word2vec	3
fasttext	glove	3
fasttext	artificial neural network	3
fasttext	natural language processing	3
vector space model	bag-of-words model	3
vector space model	compound term processing	3
vector space model	conceptual space	3
vector space model	eigenvalues and eigenvectors	3
vector space model	inverted index	3
vector space model	nearest neighbor search	3
vector space model	sparse distributed memory	3
vector space model	w-shingling	3
autoencoder	representation learning	3
autoencoder	sparse dictionary learning	3
autoencoder	deep learning	3
language model	statistical model	3
language model	factored language model	3
language model	cache language model	3
language model	katz's back-off model	3
feature extraction	cluster analysis	3
feature extraction	dimensionality reduction	3
feature extraction	feature detection (computer vision)	3
feature extraction	feature selection	3
feature extraction	data mining	3
feature extraction	connected-component labeling	3
feature extraction	segmentation (image processing)	3
feature extraction	space mapping	3
feature extraction	dynamic texture	3
document-term matrix	bag of words model	3
document-term matrix	tf-idf	3
document-term matrix	latent semantic analysis	3
document-term matrix	latent dirichlet allocation	3
feature learning	automated machine learning	3
feature learning	basis function	3
feature learning	deep learning	3
feature learning	feature detection (computer vision)	3
feature learning	feature extraction	3
feature learning	kernel trick	3
feature learning	vector quantization	3
speech processing	neurocomputational speech processing	2
speech processing	speech coding	2
speech processing	speech technology	2
speech processing	natural language processing	2
reification (linguistics)	drinker paradox	2
reification (linguistics)	nonfirstorderizability	2
reification (linguistics)	reification (computer science)	2
reification (linguistics)	reification (fallacy)	2
reification (linguistics)	reification (knowledge representation)	2
query expansion	document retrieval	2
query expansion	information retrieval	2
query expansion	linguistics	2
query expansion	morphology (linguistics)	2
query expansion	natural language processing	2
query expansion	search engine	2
query expansion	search engine indexing	2
query expansion	stemming	2
natural language user interface	conversational user interface	2
natural language user interface	natural user interface	2
natural language user interface	natural-language programming	2
natural language user interface	voice user interface	2
natural language user interface	chatterbot	2
natural language user interface	noisy text	2
natural language user interface	question answering	2
natural language user interface	selection-based search	2
natural language user interface	semantic search	2
natural language user interface	semantic query	2
natural language user interface	semantic web	2
semantic query	attention	3
semantic query	dataspaces	3
semantic query	knowledge representation	3
semantic query	linked data	3
semantic query	ontology alignment	3
semantic query	philosophy	3
semantic query	semantic integration	3
semantic query	semantic publishing	3
semantic query	semantics of business vocabulary and business rules	3
semantic query	sparql	3
semantic search	semantic web	3
semantic search	semantic unification	3
semantic search	resource description framework	3
semantic search	natural language search engine	3
semantic search	semantic query	3
semantic web	agris	3
semantic web	business semantics management	3
semantic web	computational semantics	3
semantic web	calais (reuters product)	3
semantic web	conceptual interoperability	3
semantic web	dbpedia	3
semantic web	entity-attribute-value model	3
semantic web	hyperdata	3
semantic web	internet of things	3
semantic web	linked data	3
semantic web	nextbio	3
semantic web	ontology alignment	3
semantic web	ontology learning	3
semantic web	resource description framework	3
semantic web	web ontology language	3
semantic web	semantic computing	3
semantic web	semantic geospatial web	3
semantic web	semantic heterogeneity	3
semantic web	semantic integration	3
semantic web	semantic matching	3
semantic web	semantic mediawiki	3
semantic web	semantic sensor web	3
semantic web	semantic social network	3
semantic web	semantic technology	3
semantic web	semantic web (journal)	3
semantic web	semantically-interlinked online communities	3
semantic web	smart-m3	3
semantic web	social semantic web	3
semantic web	web engineering	3
semantic web	web resource	3
semantic web	web science	3
noisy text	data corruption	3
noisy text	jargon	3
noisy text	leet speak	3
noisy text	natural language understanding	3
noisy text	noisy channel	3
selection-based search	accelerator (internet explorer)	3
selection-based search	smart tags (microsoft)	3
selection-based search	yahoo search	3
selection-based search	spotlight (software)	3
chatterbot	applications of artificial intelligence	3
chatterbot	eugene goostman	3
chatterbot	interactive online characters	3
chatterbot	internet bot	3
chatterbot	social bot	3
chatterbot	software bot	3
chatterbot	twitterbot	3
chatterbot	jjaibot	3
voice user interface	speech recognition	3
voice user interface	speech synthesis	3
voice user interface	natural language user interface	3
voice user interface	user interface engineering	3
voice user interface	voice browser	3
voice user interface	voice command	3
voice user interface	speech recognition in linux	3
voice user interface	linguatronic	3
voice user interface	home automation	3
voice user interface	voice computing	3
natural-language programming	controlled natural language	3
natural-language programming	context-free language	3
natural-language programming	domain-specific language	3
natural-language programming	end-user programming	3
natural-language programming	knowledge representation	3
natural-language programming	natural-language processing	3
natural-language programming	automatic programming	3
natural-language programming	very high-level programming language	3
natural-language programming	applescript	3
natural-language programming	attempto controlled english	3
natural-language programming	cobol	3
natural-language programming	cleartalk	3
natural-language programming	flow-matic	3
natural-language programming	hypertalk	3
natural-language programming	inform 7	3
natural-language programming	joss	3
natural-language programming	software ag	3
natural-language programming	transcript (programming language)	3
natural-language programming	structured query language	3
natural-language programming	xtalk	3
natural user interface	edusim	3
natural user interface	eye tracking	3
natural user interface	kinetic user interface	3
natural user interface	organic user interface	3
natural user interface	intelligent personal assistant	3
natural user interface	post-wimp	3
natural user interface	scratch input	3
natural user interface	spatial navigation	3
natural user interface	tangible user interface	3
natural user interface	touch user interface	3
conversational user interface	chatbot	3
conversational user interface	natural language processing	3
conversational user interface	natural-language understanding	3
conversational user interface	voice command device	3
conversational user interface	voice computing	3
stemming	root (linguistics)	3
stemming	stem (linguistics)	3
stemming	morphology (linguistics)	3
stemming	lemma (morphology)	3
stemming	lemmatization	3
stemming	lexeme	3
stemming	inflection	3
stemming	derivation (linguistics)	3
stemming	natural language processing	3
stemming	text mining	3
stemming	computational linguistics	3
stemming	snowball (programming language)	3
stemming	nltk	3
information retrieval	adversarial information retrieval	3
information retrieval	collaborative information seeking	3
information retrieval	computer memory	3
information retrieval	controlled vocabulary	3
information retrieval	cross-language information retrieval	3
information retrieval	data mining	3
information retrieval	european summer school in information retrieval	3
information retrieval	human–computer information retrieval	3
information retrieval	information extraction	3
information retrieval	information retrieval facility	3
information retrieval	knowledge visualization	3
information retrieval	multimedia information retrieval	3
information retrieval	personal information management	3
information retrieval	relevance (information retrieval)	3
information retrieval	relevance feedback	3
information retrieval	nearest centroid classifier	3
information retrieval	index (search engine)	3
information retrieval	social information seeking	3
information retrieval	special interest group on information retrieval	3
information retrieval	subject indexing	3
information retrieval	temporal information retrieval	3
information retrieval	tf-idf	3
information retrieval	xml retrieval	3
information retrieval	web mining	3
search engine indexing	controlled vocabulary	3
search engine indexing	database index	3
search engine indexing	full text search	3
search engine indexing	information extraction	3
search engine indexing	instant indexing	3
search engine indexing	key word in context	3
search engine indexing	selection-based search	3
search engine indexing	site map	3
search engine indexing	text retrieval	3
search engine indexing	information literacy	3
search engine	comparison of web search engines	3
search engine	information retrieval	3
search engine	question answering	3
search engine	filter bubble	3
search engine	google effect	3
search engine	internet search engines and libraries	3
search engine	semantic web	3
search engine	spell checker	3
search engine	web development tools	3
search engine	search engine manipulation effect	3
search engine	search engine privacy	3
linguistics	anthroponymy	3
linguistics	articulatory phonology	3
linguistics	articulatory synthesis	3
linguistics	asemic writing	3
linguistics	axiom of categoricity	3
linguistics	biosemiotics	3
linguistics	cognitive science	3
linguistics	concept mining	3
linguistics	critical discourse analysis	3
linguistics	cryptanalysis	3
linguistics	decipherment	3
linguistics	global language system	3
linguistics	grammarian (greco-roman world)	3
linguistics	integrational linguistics	3
linguistics	integrationism	3
linguistics	intercultural competence	3
linguistics	international congress of linguists	3
linguistics	international linguistics olympiad	3
linguistics	language attrition	3
linguistics	language engineering	3
linguistics	language geography	3
linguistics	linguistic typology	3
linguistics	metacommunicative competence	3
linguistics	microlinguistics	3
linguistics	onomastics	3
linguistics	reading (process)	3
linguistics	speaker recognition	3
linguistics	speech processing	3
linguistics	stratificational linguistics	3
document retrieval	compound term processing	3
document retrieval	document classification	3
document retrieval	enterprise search	3
document retrieval	evaluation measures (information retrieval)	3
document retrieval	full text search	3
document retrieval	information retrieval	3
document retrieval	latent semantic indexing	3
document retrieval	search engine	3
reification (knowledge representation)	reification (computer science)	3
reification (knowledge representation)	reification (fallacy)	3
reification (knowledge representation)	reification (linguistics)	3
reification (fallacy)	all models are wrong	3
reification (fallacy)	counterfactual definiteness	3
reification (fallacy)	idolatry	3
reification (fallacy)	objectification	3
reification (fallacy)	philosophical realism	3
reification (computer science)	denotational semantics	3
reification (computer science)	formal semantics of programming languages	3
reification (computer science)	meta-circular evaluator	3
reification (computer science)	metamodeling	3
reification (computer science)	metaobject	3
reification (computer science)	metaprogramming	3
reification (computer science)	normalization by evaluation	3
reification (computer science)	operational semantics	3
reification (computer science)	reflection (computer science)	3
reification (computer science)	resource description framework	3
reification (computer science)	self-interpreter	3
reification (computer science)	topic maps	3
nonfirstorderizability	branching quantifier	3
nonfirstorderizability	generalized quantifier	3
nonfirstorderizability	plural quantification	3
nonfirstorderizability	reification (linguistics)	3
natural language programming	controlled natural language	2
natural language programming	context-free language	2
natural language programming	domain-specific language	2
natural language programming	end-user programming	2
natural language programming	knowledge representation	2
natural language programming	natural-language processing	2
natural language programming	automatic programming	2
natural language programming	very high-level programming language	2
natural language programming	applescript	2
natural language programming	attempto controlled english	2
natural language programming	cobol	2
natural language programming	cleartalk	2
natural language programming	flow-matic	2
natural language programming	hypertalk	2
natural language programming	inform 7	2
natural language programming	joss	2
natural language programming	software ag	2
natural language programming	transcript (programming language)	2
natural language programming	structured query language	2
natural language programming	xtalk	2
drinker paradox	reification (linguistics)	3
drinker paradox	temporal logic	3
drinker paradox	relevance logic	3
speech technology	communication aids	3
speech technology	language technology	3
speech technology	speech interface guideline	3
speech technology	speech processing	3
speech technology	speech technology (magazine)	3
neurocomputational speech processing	speech production	3
neurocomputational speech processing	speech perception	3
neurocomputational speech processing	computational neuroscience	3
neurocomputational speech processing	articulatory synthesis	3
neurocomputational speech processing	auditory feedback	3
speech coding	audio data compression	3
speech coding	audio signal processing	3
speech coding	data compression	3
speech coding	digital signal processing	3
speech coding	linear prediction	3
speech coding	mobile phone	3
speech coding	pulse-code modulation	3
speech coding	psychoacoustic model	3
speech coding	speech interface guideline	3
speech coding	speech processing	3
speech coding	speech synthesis	3
speech coding	telecommunication	3
speech coding	vector quantization	3
speech coding	vocoder	3
structured query language	comparison of object-relational database management systems	3
structured query language	comparison of relational database management systems	3
structured query language	d (data language specification)	3
structured query language	d4 (programming language)	3
structured query language	hierarchical model	3
structured query language	mumps	3
structured query language	nosql	3
structured query language	query by example	3
structured query language	transact-sql	3
structured query language	online analytical processing	3
structured query language	online transaction processing	3
structured query language	data warehouse	3
structured query language	relational data stream management system	3
structured query language	star schema	3
structured query language	snowflake schema	3
transcript (programming language)	metacard	3
transcript (programming language)	hypercard	3
inform 7	inform version history	3
inform 7	tads	3
hypertalk	inform	3
cobol	blis/cobol	3
cobol	cobol resource	3
cobol	codasyl	3
cobol	comparison of programming languages	3
applescript	bbedit	3
attempto controlled english	gellish	3
attempto controlled english	natural language processing	3
attempto controlled english	natural language programming	3
attempto controlled english	structured english	3
attempto controlled english	cleartalk	3
attempto controlled english	inform 7	3
automatic programming	automatic bug fixing	3
automatic programming	automated machine learning	3
automatic programming	comparison of code generation tools	3
automatic programming	feature-oriented programming	3
automatic programming	language-oriented programming	3
automatic programming	modeling language	3
automatic programming	program transformation	3
automatic programming	semantic translation	3
automatic programming	vocabulary-based transformation	3
automatic programming	fourth-generation programming language	3
automatic programming	low-code development platforms	3
very high-level programming language	automatic programming	3
very high-level programming language	low-level programming language	3
very high-level programming language	third-generation programming language	3
very high-level programming language	fourth-generation programming language	3
very high-level programming language	fifth-generation programming language	3
very high-level programming language	feature oriented programming	3
natural-language processing	1 the road	3
natural-language processing	automated essay scoring	3
natural-language processing	biomedical text mining	3
natural-language processing	compound term processing	3
natural-language processing	computational linguistics	3
natural-language processing	computer-assisted reviewing	3
natural-language processing	controlled natural language	3
natural-language processing	deep learning	3
natural-language processing	deep linguistic processing	3
natural-language processing	distributional semantics	3
natural-language processing	foreign language reading aid	3
natural-language processing	foreign language writing aid	3
natural-language processing	information extraction	3
natural-language processing	information retrieval	3
natural-language processing	language and communication technologies	3
natural-language processing	language technology	3
natural-language processing	latent semantic indexing	3
natural-language processing	native-language identification	3
natural-language processing	natural language programming	3
natural-language processing	natural language user interface	3
natural-language processing	query expansion	3
natural-language processing	reification (linguistics)	3
natural-language processing	speech processing	3
natural-language processing	spoken dialogue system	3
natural-language processing	text-proofing	3
natural-language processing	text simplification	3
natural-language processing	transformer (machine learning model)	3
natural-language processing	truecasing	3
natural-language processing	question answering	3
natural-language processing	word2vec	3
native-language identification	crosslinguistic influence	2
native-language identification	foreign language writing aid	2
native-language identification	computer-assisted language learning	2
native-language identification	language education	2
native-language identification	natural language processing	2
native-language identification	language transfer	2
latent semantic indexing	coh-metrix	2
latent semantic indexing	compound term processing	2
latent semantic indexing	distributional semantics	2
latent semantic indexing	explicit semantic analysis	2
latent semantic indexing	latent semantic mapping	2
latent semantic indexing	latent semantic structure indexing	2
latent semantic indexing	principal components analysis	2
latent semantic indexing	probabilistic latent semantic analysis	2
latent semantic indexing	spamdexing	2
latent semantic indexing	word vector	2
latent semantic indexing	topic model	2
latent semantic indexing	latent dirichlet allocation	2
end-user programming	automatic programming	3
end-user programming	end-user computing	3
end-user programming	low-code development platforms	3
end-user programming	natural language programming	3
end-user programming	situational application	3
end-user programming	software engineering	3
knowledge representation	belief revision	3
knowledge representation	chunking (psychology)	3
